station_id,station_name
04841,"Steinau, Kr. Cuxhaven"
04849,Steinfurt-Burgsteinfurt
04850,Steingaden-Lauterbach
04857,Mittelnkirchen-Hohenfelde
04858,Steinkirchen-Hofstarring
04878,Oberharz am Brocken-Stiege
04881,Stockach
04883,Frankenfeld-Hedern
04887,Stötten
04896,Wagersrott
04911,Straubing
04912,Strausberg
04920,Beverstedt
04926,Stuttgart (Neckartal)
04927,Stuttgart-Stadt
04928,Stuttgart (Schnarrenberg)
04931,Stuttgart-Echterdingen
04946,Schweitenkirchen-Sünzhausen
04950,Suhl
04958,Sulzdorf an der Lederhecke
04978,Tann/Rhön
04982,Tannenberg
04984,Hohenreinkendorf
04997,Starkenberg-Tegkwitz
05000,Teisendorf
05002,Teisnach
05009,Teterow
05013,Teublitz (Kläranlage)
05014,Worpswede-Hüttenbusch
05017,Teuschnitz
05023,Thalmässing
05029,Tholey
05034,Thurnau-Tannfeld
05036,Treffelstein-Witzelsmühle
05046,Tirschenreuth-Lodermühl
05047,Titisee-Neustadt-Langenordnach
05055,Tittmoning
05057,Haale
05058,Sprenge
05059,Todtmoos
05063,"Tölz, Bad"
05064,Tönisvorst
05084,Südeichsfeld-Wendehausen
05086,Trendelburg
05097,Tribsees
05099,Trier-Zewen
05100,Trier-Petrisberg
05103,Trippstadt-Neuhof
05109,Trollenhagen
05111,Trostberg
05123,Tüßling
05132,Twist-Hebelermeer
05133,Twistetal-Mühlhausen
05142,Ueckermünde
05146,Uelzen
05148,Uetze
05149,Gollhofen
05155,Ulm
05158,Ummendorf
05161,Untergriesbach-Glotzing
05162,Untergriesbach-Schaibing
05169,Kraftisried
05171,Unterwössen-Hinterwössen
05174,"Urach, Bad"
05187,Utting-Achselschwang
05206,Vellberg-Kleinaltdorf
05209,Verden-Dauelsen
05225,"Vilbel, Bad-Dortelweil"
05227,Vilgertshofen-Pflugdorf
05229,Villingen-Schwenningen
05230,Vilsbiburg
05240,Vöhl-Buchenberg
05262,Waakirchen-Demmelberg
05263,Wabern-Hebel
05275,Waghäusel-Kirrlach
05276,Waging am See
05277,Wahlen
05279,Wahlsburg-Lippoldsberg
05280,Wittenborn
05285,Waidhaus-Pfrentsch
05294,Waldbrunn-Lahr
05297,Waldeck-Alraft
05300,Waldems-Reinborn
05303,Waldershof-Schafbruck
05335,Waltershausen
05347,Warburg
05349,Waren (Müritz)
05360,Warstein-Hirschberg
